Deltoid,Bicep,Time,Bandpass_Filtered_Deltoid,Bandpass_Filtered_Bicep,RMS_Deltoid,RMS_Bicep
6.0,0.0,0.0,,,,
6.0,0.0,0.001,,,,
1.0,3.0,0.002,,,,
-1.0,6.0,0.003,,,,
2.0,4.0,0.004,,,,
5.0,1.0,0.005,,,,
4.0,0.0,0.006,,,,
1.0,0.0,0.006999999999999999,,,,
1.0,1.0,0.008,,,,
1.0,1.0,0.009000000000000001,,,,
0.0,2.0,0.01,,,,
2.0,1.0,0.011000000000000001,,,,
3.0,-2.0,0.012,,,,
4.0,-3.0,0.013000000000000001,,,,
-1.0,-3.0,0.013999999999999999,,,,
-3.0,-4.0,0.015,,,,
-4.0,-5.0,0.016,,,,
-3.0,-9.0,0.017,,,,
-1.0,-7.0,0.018000000000000002,,,,
3.0,-5.0,0.019,,,,
7.0,-4.0,0.02,,,,
8.0,-1.0,0.021,,,,
2.0,5.0,0.022000000000000002,,,,
1.0,6.0,0.023,,,,
3.0,1.0,0.024,,,,
3.0,-3.0,0.025,,,,
0.0,-1.0,0.026000000000000002,,,,
-3.0,1.0,0.027000000000000003,,,,
-1.0,2.0,0.027999999999999997,,,,
0.0,1.0,0.028999999999999998,,,,
-1.0,-1.0,0.03,,,,
-1.0,-2.0,0.031,,,,
0.0,-4.0,0.032,,,,
2.0,-3.0,0.033,,,,
1.0,-1.0,0.034,,,,
0.0,-1.0,0.035,,,,
-1.0,-1.0,0.036000000000000004,,,,
-3.0,-4.0,0.037000000000000005,,,,
-3.0,-3.0,0.038,,,,
4.0,-2.0,0.039,,,,
12.0,0.0,0.04,,,,
11.0,1.0,0.040999999999999995,,,,
5.0,5.0,0.042,,,,
4.0,5.0,0.043,,,,
8.0,0.0,0.044000000000000004,,,,
8.0,-3.0,0.045,,,,
5.0,-2.0,0.046,,,,
4.0,0.0,0.047,,,,
7.0,1.0,0.048,,,,
9.0,-1.0,0.049,,,,
5.0,-1.0,0.05,,,,
1.0,1.0,0.051,,,,
0.0,3.0,0.052000000000000005,,,,
2.0,4.0,0.053,,,,
3.0,0.0,0.054000000000000006,,,,
2.0,-3.0,0.055,,,,
-2.0,-6.0,0.055999999999999994,,,,
-6.0,-8.0,0.057,,,,
-4.0,-6.0,0.057999999999999996,,,,
4.0,-2.0,0.059000000000000004,,,,
11.0,1.0,0.06,,,,
10.0,0.0,0.061,,,,
2.0,-1.0,0.062,,,,
0.0,-2.0,0.063,,,,
4.0,-1.0,0.064,,,,
5.0,0.0,0.065,,,,
2.0,0.0,0.066,,,,
0.0,1.0,0.067,,,,
0.0,1.0,0.068,,,,
-1.0,0.0,0.069,,,,
-3.0,-2.0,0.07,,,,
-3.0,-1.0,0.071,,,,
0.0,0.0,0.07200000000000001,,,,
3.0,2.0,0.073,,,,
1.0,0.0,0.07400000000000001,,,,
-1.0,-2.0,0.075,,,,
-5.0,-2.0,0.076,,,,
-7.0,-5.0,0.077,,,,
-5.0,-6.0,0.078,,,,
2.0,-6.0,0.079,,,,
11.0,-3.0,0.08,,,,
8.0,1.0,0.081,,,,
0.0,4.0,0.08199999999999999,,,,
-2.0,6.0,0.083,,,,
2.0,3.0,0.084,,,,
3.0,0.0,0.085,,,,
0.0,-3.0,0.086,,,,
0.0,-3.0,0.087,,,,
4.0,-1.0,0.08800000000000001,,,,
3.0,1.0,0.08900000000000001,,,,
0.0,0.0,0.09,,,,
0.0,-1.0,0.091,,,,
2.0,-1.0,0.092,,,,
4.0,1.0,0.09300000000000001,,,,
2.0,1.0,0.094,,,,
2.0,-1.0,0.095,,,,
2.0,-3.0,0.096,,,,
-1.0,-5.0,0.09699999999999999,,,,
-3.0,-4.0,0.098,,,,
2.0,-3.0,0.099,,,,
10.0,-2.0,0.1,,,,
10.0,-1.0,0.10099999999999999,,,,
4.0,1.0,0.102,,,,
2.0,0.0,0.10300000000000001,,,,
5.0,-1.0,0.10400000000000001,,,,
4.0,-2.0,0.105,,,,
0.0,-1.0,0.106,,,,
0.0,1.0,0.107,,,,
3.0,1.0,0.10800000000000001,,,,
4.0,0.0,0.109,,,,
0.0,-1.0,0.11,,,,
-1.0,-1.0,0.111,,,,
0.0,0.0,0.11199999999999999,,,,
0.0,0.0,0.113,,,,
0.0,-1.0,0.114,,,,
0.0,-2.0,0.115,,,,
-1.0,-2.0,0.11599999999999999,,,,
-5.0,-4.0,0.11699999999999999,,,,
-5.0,-5.0,0.11800000000000001,,,,
1.0,-4.0,0.11900000000000001,,,,
10.0,-2.0,0.12,,,,
9.0,3.0,0.121,,,,
5.0,7.0,0.122,,,,
4.0,6.0,0.12300000000000001,,,,
6.0,1.0,0.124,,,,
3.0,-1.0,0.125,,,,
0.0,0.0,0.126,,,,
0.0,2.0,0.127,,,,
2.0,1.0,0.128,,,,
4.0,-1.0,0.129,,,,
