Deltoid,Bicep,Time
9,-3,0.0
8,-1,0.001
5,4,0.002
4,6,0.003
7,3,0.004
9,2,0.005
5,4,0.006
1,4,0.007
0,0,0.008
0,-4,0.009
-4,-3,0.01
-11,1,0.011
-13,1,0.012
-6,1,0.013
3,1,0.014
10,3,0.015
10,1,0.016
6,-4,0.017
7,-5,0.018
15,0,0.019
21,2,0.02
11,2,0.021
-9,2,0.022
-16,4,0.023
-2,1,0.024
12,-4,0.025
10,-7,0.026
-1,-7,0.027
-4,-6,0.028
0,-4,0.029
1,-3,0.03
-3,-3,0.031
-3,-4,0.032
1,-6,0.033
2,-8,0.034
0,-7,0.035
-1,-4,0.036
-2,-6,0.037
-3,-7,0.038
-2,-6,0.039
2,-4,0.04
5,-2,0.041
3,2,0.042
0,2,0.043
5,0,0.044
10,-3,0.045
9,-1,0.046
7,2,0.047
8,-2,0.048
10,-7,0.049
9,-6,0.05
5,-1,0.051
6,2,0.052
9,3,0.053
7,1,0.054
3,-1,0.055
-3,-5,0.056
-5,-9,0.057
-4,-7,0.058
2,-2,0.059
11,2,0.06
12,3,0.061
5,2,0.062
0,2,0.063
1,0,0.064
8,1,0.065
7,2,0.066
0,2,0.067
-3,0,0.068
0,-3,0.069
2,-2,0.07
0,0,0.071
0,0,0.072
4,2,0.073
6,2,0.074
2,1,0.075
-5,0,0.076
-9,-2,0.077
-5,-2,0.078
0,-4,0.079
3,-2,0.08
1,5,0.081
-3,10,0.082
-3,8,0.083
0,2,0.084
4,2,0.085
4,4,0.086
5,5,0.087
7,3,0.088
6,1,0.089
0,0,0.09
-3,-3,0.091
-1,-6,0.092
3,-3,0.093
5,-1,0.094
4,-2,0.095
2,-3,0.096
-1,-5,0.097
-3,-4,0.098
0,-4,0.099
6,-3,0.1
9,1,0.101
5,5,0.102
2,4,0.103
6,1,0.104
8,0,0.105
2,2,0.106
-1,3,0.107
3,2,0.108
8,1,0.109
5,-1,0.11
3,-5,0.111
5,-6,0.112
10,-2,0.113
9,0,0.114
3,-2,0.115
-3,-6,0.116
-5,-10,0.117
-3,-7,0.118
1,0,0.119
7,2,0.12
6,1,0.121
2,3,0.122
2,4,0.123
2,2,0.124
2,-2,0.125
0,-2,0.126
-1,-2,0.127
2,-1,0.128
5,-2,0.129
5,-2,0.13
2,-1,0.131
2,-1,0.132
3,0,0.133
5,-1,0.134
9,-3,0.135
9,-6,0.136
3,-7,0.137
-2,-4,0.138
0,0,0.139
7,-1,0.14
14,-3,0.141
17,-3,0.142
18,-2,0.143
9,-1,0.144
-14,0,0.145
-40,1,0.146
-49,4,0.147
-31,2,0.148
-6,0,0.149
11,0,0.15
13,0,0.151
10,-2,0.152
12,-2,0.153
15,-4,0.154
21,-3,0.155
23,-4,0.156
16,-7,0.157
3,-6,0.158
-1,0,0.159
6,3,0.16
13,6,0.161
8,7,0.162
4,6,0.163
6,1,0.164
9,-1,0.165
8,0,0.166
6,1,0.167
3,-1,0.168
0,-5,0.169
-3,-3,0.17
-3,1,0.171
1,1,0.172
5,-1,0.173
3,-2,0.174
0,0,0.175
-3,0,0.176
-7,-7,0.177
-8,-9,0.178
0,-5,0.179
11,0,0.18
12,5,0.181
2,7,0.182
-3,6,0.183
2,5,0.184
6,5,0.185
4,5,0.186
0,3,0.187
-1,-1,0.188
-3,-4,0.189
-8,-5,0.19
-10,-4,0.191
-7,-5,0.192
-3,-5,0.193
-1,-5,0.194
0,-5,0.195
1,-4,0.196
-2,-6,0.197
-6,-5,0.198
-5,-1,0.199
2,1,0.2
7,3,0.201
4,4,0.202
2,3,0.203
7,1,0.204
12,0,0.205
8,0,0.206
3,0,0.207
5,-1,0.208
10,-2,0.209
10,0,0.21
5,0,0.211
5,-1,0.212
8,-2,0.213
7,-3,0.214
4,-2,0.215
0,-2,0.216
-3,-6,0.217
-5,-7,0.218
0,-5,0.219
9,-2,0.22
13,1,0.221
9,4,0.222
3,6,0.223
3,4,0.224
4,0,0.225
2,0,0.226
0,2,0.227
4,2,0.228
8,-1,0.229
7,-4,0.23
0,-3,0.231
-2,-1,0.232
1,0,0.233
3,-4,0.234
6,-4,0.235
4,-2,0.236
-2,-3,0.237
-8,-1,0.238
-6,1,0.239
1,4,0.24
5,6,0.241
2,5,0.242
3,3,0.243
9,0,0.244
11,-2,0.245
3,-1,0.246
-2,0,0.247
2,1,0.248
4,-1,0.249
2,-1,0.25
2,-2,0.251
7,-4,0.252
10,-5,0.253
5,-3,0.254
2,-2,0.255
3,-3,0.256
6,-8,0.257
6,-8,0.258
6,-3,0.259
8,0,0.26
7,3,0.261
1,4,0.262
-3,6,0.263
-3,3,0.264
-2,0,0.265
-1,0,0.266
-2,2,0.267
0,2,0.268
0,0,0.269
0,-2,0.27
0,-2,0.271
1,-2,0.272
2,-3,0.273
0,-3,0.274
-2,0,0.275
-4,0,0.276
-5,-4,0.277
-5,-2,0.278
-1,3,0.279
6,3,0.28
7,0,0.281
1,1,0.282
-3,5,0.283
-3,4,0.284
-4,-1,0.285
-6,-3,0.286
-3,1,0.287
8,4,0.288
16,0,0.289
12,-4,0.29
7,-4,0.291
11,-3,0.292
19,-1,0.293
19,-1,0.294
10,-1,0.295
-1,-4,0.296
-6,-8,0.297
-6,-6,0.298
-1,-1,0.299
5,0,0.3
6,0,0.301
2,3,0.302
-2,5,0.303
0,3,0.304
1,0,0.305
1,0,0.306
0,1,0.307
1,0,0.308
2,-2,0.309
1,0,0.31
1,3,0.311
4,1,0.312
7,0,0.313
8,0,0.314
8,0,0.315
9,-3,0.316
9,-8,0.317
5,-6,0.318
-5,-2,0.319
-18,1,0.32
-27,3,0.321
-26,5,0.322
-15,6,0.323
-2,3,0.324
9,1,0.325
17,2,0.326
23,0,0.327
24,-5,0.328
19,-7,0.329
12,-5,0.33
5,-3,0.331
3,-5,0.332
3,-6,0.333
0,-5,0.334
-1,-5,0.335
-4,-3,0.336
-4,-4,0.337
-2,-1,0.338
3,0,0.339
6,-1,0.34
2,2,0.341
0,5,0.342
1,4,0.343
3,-1,0.344
7,-2,0.345
9,2,0.346
3,7,0.347
0,8,0.348
1,4,0.349
4,0,0.35
2,-1,0.351
1,0,0.352
1,3,0.353
0,3,0.354
-3,1,0.355
-6,-2,0.356
-8,-6,0.357
-5,-8,0.358
3,-5,0.359
11,-1,0.36
10,2,0.361
4,4,0.362
3,1,0.363
6,-1,0.364
8,-2,0.365
6,-3,0.366
5,-5,0.367
4,-4,0.368
3,-3,0.369
0,-1,0.37
3,-3,0.371
5,-4,0.372
7,-1,0.373
3,0,0.374
2,-1,0.375
0,-4,0.376
-5,-6,0.377
-11,-5,0.378
-6,-3,0.379
4,0,0.38
10,6,0.381
6,9,0.382
6,4,0.383
9,-2,0.384
9,-3,0.385
2,0,0.386
0,1,0.387
3,0,0.388
6,0,0.389
4,0,0.39
2,-2,0.391
2,-4,0.392
3,0,0.393
1,0,0.394
1,0,0.395
-1,-3,0.396
-4,-5,0.397
-6,-3,0.398
-3,-1,0.399
4,-1,0.4
8,2,0.401
4,6,0.402
2,6,0.403
6,2,0.404
8,0,0.405
6,0,0.406
2,3,0.407
1,1,0.408
3,-1,0.409
2,-4,0.41
2,-4,0.411
4,-2,0.412
8,1,0.413
10,-1,0.414
6,-4,0.415
-2,-6,0.416
-6,-8,0.417
-6,-6,0.418
0,-2,0.419
7,0,0.42
8,3,0.421
4,4,0.422
1,2,0.423
1,1,0.424
0,3,0.425
0,4,0.426
0,1,0.427
2,-5,0.428
6,-5,0.429
6,-1,0.43
3,1,0.431
0,-1,0.432
0,-3,0.433
1,-1,0.434
1,1,0.435
-4,0,0.436
-8,-7,0.437
-8,-7,0.438
-2,-5,0.439
6,-1,0.44
6,2,0.441
3,5,0.442
1,5,0.443
4,1,0.444
9,-3,0.445
6,-1,0.446
3,3,0.447
3,3,0.448
5,0,0.449
7,0,0.45
7,0,0.451
8,-3,0.452
9,-3,0.453
6,-3,0.454
2,-2,0.455
-3,-5,0.456
-8,-10,0.457
-9,-9,0.458
-4,-5,0.459
3,0,0.46
6,3,0.461
3,6,0.462
-1,7,0.463
-4,3,0.464
-5,-1,0.465
-1,0,0.466
2,0,0.467
4,-1,0.468
3,-3,0.469
4,-1,0.47
5,-1,0.471
4,-3,0.472
8,-3,0.473
15,-3,0.474
24,0,0.475
19,1,0.476
-1,-4,0.477
-22,-5,0.478
-24,-3,0.479
-11,-1,0.48
-2,2,0.481
-2,6,0.482
1,6,0.483
11,-1,0.484
14,-6,0.485
5,-3,0.486
-1,2,0.487
2,3,0.488
10,-1,0.489
9,-2,0.49
2,0,0.491
0,0,0.492
3,-2,0.493
