Deltoid,Bicep,Time
0.0,-4.0,0.0
-2.0,-10.0,0.001
-5.0,-10.0,0.002
-1.0,-6.0,0.003
5.0,-4.0,0.004
7.0,-2.0,0.005
3.0,1.0,0.006
2.0,3.0,0.007
8.0,0.0,0.008
8.0,-3.0,0.009
4.0,-3.0,0.01
3.0,-2.0,0.011
8.0,-2.0,0.012
12.0,0.0,0.013
6.0,2.0,0.014
0.0,3.0,0.015
-1.0,0.0,0.016
0.0,-1.0,0.017
-2.0,-2.0,0.018
-2.0,-5.0,0.019
-2.0,-6.0,0.02
-2.0,-6.0,0.021
-2.0,-3.0,0.022
4.0,0.0,0.023
8.0,0.0,0.024
3.0,1.0,0.025
1.0,3.0,0.026
2.0,4.0,0.027
2.0,2.0,0.028
2.0,3.0,0.029
2.0,7.0,0.03
2.0,4.0,0.031
2.0,-2.0,0.032
6.0,-5.0,0.033
9.0,-2.0,0.034
5.0,0.0,0.035
2.0,-2.0,0.036
2.0,-4.0,0.037
-3.0,-2.0,0.038
-3.0,0.0,0.039
-3.0,1.0,0.04
-4.0,-3.0,0.041
-3.0,-5.0,0.042
5.0,-3.0,0.043
10.0,0.0,0.044
4.0,1.0,0.045
0.0,3.0,0.046
1.0,3.0,0.047
2.0,1.0,0.048
2.0,0.0,0.049
2.0,-1.0,0.05
2.0,1.0,0.051
2.0,3.0,0.052
7.0,-1.0,0.053
11.0,-4.0,0.054
6.0,-4.0,0.055
2.0,-4.0,0.056
2.0,-1.0,0.057
2.0,1.0,0.058
2.0,-2.0,0.059
-1.0,-4.0,0.06
-7.0,-4.0,0.061
-10.0,0.0,0.062
-3.0,2.0,0.063
6.0,0.0,0.064
11.0,0.0,0.065
9.0,3.0,0.066
9.0,4.0,0.067
10.0,0.0,0.068
2.0,-2.0,0.069
-6.0,-1.0,0.07
-4.0,0.0,0.071
10.0,-4.0,0.072
21.0,-6.0,0.073
16.0,-4.0,0.074
4.0,-4.0,0.075
-4.0,-9.0,0.076
-1.0,-10.0,0.077
3.0,-7.0,0.078
3.0,-2.0,0.079
-6.0,-2.0,0.08
-18.0,-8.0,0.081
-21.0,-9.0,0.082
-20.0,-2.0,0.083
-16.0,3.0,0.084
-9.0,4.0,0.085
1.0,3.0,0.086
15.0,3.0,0.087
17.0,2.0,0.088
13.0,0.0,0.089
13.0,0.0,0.09
20.0,2.0,0.091
25.0,0.0,0.092
22.0,-2.0,0.093
18.0,-1.0,0.094
16.0,3.0,0.095
20.0,5.0,0.096
31.0,4.0,0.097
39.0,0.0,0.098
26.0,0.0,0.099
-16.0,-1.0,0.1
-57.0,-6.0,0.101
-66.0,-6.0,0.102
-38.0,-3.0,0.103
-9.0,-1.0,0.104
3.0,-1.0,0.105
8.0,1.0,0.106
14.0,5.0,0.107
16.0,5.0,0.108
2.0,-1.0,0.109
-10.0,-6.0,0.11
-7.0,-4.0,0.111
5.0,0.0,0.112
12.0,0.0,0.113
8.0,-1.0,0.114
2.0,0.0,0.115
2.0,2.0,0.116
4.0,2.0,0.117
1.0,0.0,0.118
0.0,0.0,0.119
-1.0,1.0,0.12
-2.0,-3.0,0.121
-2.0,-5.0,0.122
5.0,-4.0,0.123
10.0,-2.0,0.124
7.0,2.0,0.125
5.0,3.0,0.126
6.0,3.0,0.127
7.0,3.0,0.128
9.0,4.0,0.129
11.0,1.0,0.13
5.0,-3.0,0.131
1.0,-6.0,0.132
2.0,-4.0,0.133
3.0,0.0,0.134
3.0,1.0,0.135
4.0,-2.0,0.136
4.0,-3.0,0.137
3.0,-3.0,0.138
1.0,-3.0,0.139
-3.0,-2.0,0.14
-5.0,-5.0,0.141
-5.0,-5.0,0.142
-1.0,-2.0,0.143
5.0,0.0,0.144
6.0,2.0,0.145
1.0,2.0,0.146
-2.0,0.0,0.147
1.0,-3.0,0.148
4.0,-6.0,0.149
3.0,-3.0,0.15
1.0,0.0,0.151
6.0,-1.0,0.152
13.0,-5.0,0.153
13.0,-7.0,0.154
9.0,-3.0,0.155
3.0,0.0,0.156
3.0,1.0,0.157
2.0,-3.0,0.158
0.0,-4.0,0.159
-6.0,-1.0,0.16
-12.0,-2.0,0.161
-12.0,-6.0,0.162
-6.0,-6.0,0.163
2.0,-3.0,0.164
5.0,2.0,0.165
1.0,3.0,0.166
0.0,2.0,0.167
3.0,3.0,0.168
5.0,4.0,0.169
1.0,1.0,0.17
-3.0,-2.0,0.171
0.0,-3.0,0.172
6.0,0.0,0.173
7.0,1.0,0.174
6.0,1.0,0.175
8.0,1.0,0.176
12.0,4.0,0.177
9.0,4.0,0.178
3.0,1.0,0.179
-4.0,-1.0,0.18
-8.0,-3.0,0.181
-7.0,-2.0,0.182
-1.0,-1.0,0.183
5.0,0.0,0.184
8.0,0.0,0.185
5.0,0.0,0.186
3.0,-3.0,0.187
6.0,-4.0,0.188
9.0,-3.0,0.189
4.0,-1.0,0.19
1.0,0.0,0.191
3.0,1.0,0.192
6.0,2.0,0.193
6.0,3.0,0.194
6.0,3.0,0.195
11.0,0.0,0.196
12.0,1.0,0.197
2.0,0.0,0.198
-7.0,-1.0,0.199
-13.0,-5.0,0.2
-8.0,-8.0,0.201
